Cell Type	Z-score	Cluster
Mait-like cell	-0.30165349558013893	4
Innate lymphoid cell Type 2	-0.30165349558013893	4
CD8+ mucosal-associated invariant T cell(CD8+ MAIT)	-0.30165349558013893	4
CD8+ T helper 17 cell	-0.30165349558013893	4
CD4+T helper 17 cell	-0.30165349558013893	4
Type 17 T cell	-0.30165349558013893	4
CD4 peripherally derived regulatory T cell	-0.30165349558013893	4
Helper innate lymphoid cell	-0.30165349558013893	4
Multilymphoid progenitor cell	-0.30165349558013893	4
Innate Lymphoid cell	-0.30165349558013893	4
T helper(Th) cell	-0.30165349558013893	4
Regulatory innate lymphoid cell	-0.30165349558013893	4
Gonadal endothelial cell	-0.3016812394911965	4
Mitotic arrest phase fetal germ cell	-0.3016812394911965	4
CD4+ cytotoxic T lymphocyte	-0.3018020338227344	4
Cytotoxic lymphocyte	-0.3018020338227344	4
Goblet cell	-0.30189389698062596	4
LGR5+ stem cell	-0.30189389698062596	4
Distal stem cell	-0.30189389698062596	4
Sertoli cell	-0.30331050169598484	4
Exausted T(Tex) cell	-0.30559849097833125	4
Responding conventional T cell	-0.30559849097833125	4
Dendritic cell	-0.30559849097833125	4
Activated memory T cell	-0.30559849097833125	4
Monocyte	8.688250988228189	5
Macrophage	6.310278527296475	5
Microglial cell	4.3021488777804135	5
Myeloid cell	2.4318301188442306	5
Neutrophil	2.1085266822708966	5
Natural killer cell	1.9804146395645548	5
Dendritic cell	1.9094200059751625	5
B cell	1.0307639762632541	5
Classical monocyte	0.8716538618590027	5
Non-classical monocyte	0.8446163216697513	5
CD16+ monocyte	0.7051041665985801	5
Intermediate monocyte	0.6629891722276924	5
Natural killer T (NKT) cell	0.5096779459872651	5
CD14+ monocyte	0.4410445926884616	5
Natural killer T(NKT) cell	0.42918024749093986	5
Astrocyte	0.23268500656967694	5
M1 macrophage	0.1918734144646959	5
Fibroblast	0.17607402975587272	5
Leukocyte	0.17420909303726825	5
CD1C-CD141- dendritic cell	0.1412072862817651	5
Paneth cell	0.12838995353052177	5
Antigen-presenting cell	0.07612640855952763	5
Immune cell	0.05202844727936327	5
Eosinophil	0.03170970030602621	5
Immature neutrophil	0.02193843228021335	5
Neuron	0.01878448785328417	5
CD16 monocyte	0.014248366783018412	5
CD14+CD16+ monocyte	-0.013131080991864722	5
T cell	-0.013131080991864722	5
Mature neutrophil	-0.013131080991864722	5
Mononuclear phagocyte	-0.014381670695879128	5
Memory T cell	-0.09511990135557329	5
Mesenchymal cell	-0.11648939021384222	5
Memory CD4+ T cell	-0.11648939021384222	5
Myeloid derived suppressor cell (MDSC)	-0.12416505301728775	5
Trophectoderm cell	-0.12918567236874282	5
CD4+ T cell	-0.13165900529530983	5
Multilymphoid progenitor cell	-0.1861005069881402	5
Hepatocyte	-0.192560843813595	5
Retinoid acid signaling-responsive fetal germ cell	-0.19869691305579806	5
Gonadal endothelial cell	-0.21000630578536864	5
Mitotic fetal germ cell	-0.21733251936068682	5
CD1C+_B dendritic cell	-0.21838545665258285	5
Endothelial cell	-0.21890002633290842	5
CLEC10A+ dendritic cell	-0.2209183141935436	5
Secretory cell	-0.222756022310032	5
Sertoli cell	-0.2288580172859371	5
Natural regulatory T cell	-0.2288680633231362	5
Mitotic arrest phase fetal germ cell	-0.23069683938497182	5
Granulosa cell	-0.2327443504325826	5
Mast cell	-0.23599165942263917	5
Enterocyte progenitor cell	-0.23628221928825485	5
Monocyte derived dendritic cell	-0.23698189882598997	5
Migration phase fetal germ cell	-0.23864161041793952	5
Hematopoietic cell	-0.24008750206512297	5
Granulocyte-monocyte progenitor	-0.24014724210951913	5
Leydig cell	-0.24163023930778502	5
Liver bud hepatic cell	-0.2417305925264423	5
Immature B cell	-0.24282987445958867	5
Oogenesis phase fetal germ cell	-0.24327892564591316	5
Mono-macrophage	-0.2437361163643464	5
CLEC9A+ dendritic cell	-0.24570603727061446	5
CD141+CLEC9A+ dendritic cell	-0.24697041116984955	5
Kupffer cell	-0.24842677252203	5
M1 microglial cell	-0.25002848160210844	5
Fibrocartilage chondrocyte	-0.25271861015215397	5
Effector CD8+ memory T (Tem) cell	-0.2532494440600816	5
Meyloid cell	-0.2535297765520866	5
Granulocyte	-0.2545900855812398	5
Basophil	-0.2552874942925486	5
Cytotoxic CD4+ T cell	-0.25530330023358333	5
CD8+ T cell	-0.2557604996067089	5
Naive CD8+ T cell	-0.2563114725716505	5
Monocyte-derived dendritic cell	-0.2574461909366368	5
Megakaryocyte	-0.2577024242316767	5
Acinar cell	-0.25804256229646294	5
M2 macrophage	-0.2589083884363712	5
CD14 monocyte	-0.25976880168439503	5
Regulatory T(Treg) cell	-0.26042309848811745	5
Ciliated epithelial cell	-0.2604655691242122	5
Intermediate monocyte cell	-0.2614377461845893	5
Type 3 dendritic cell (DC3)	-0.2620411484516446	5
Tissue resident memory T(TRM) cell	-0.26236052638220736	5
1-cell stage cell (Blastomere)	-0.2624401029815128	5
Basal cell	-0.2642445952129462	5
SLC16A7+ cell	-0.26454956843838157	5
AXL+SIGLEC6+ dendritic cell	-0.26485576650885123	5
Pre-dendritic cell	-0.2658581344332364	5
Ciliated cell	-0.26610833375918247	5
Blood cell	-0.26617032938126123	5
Gonadal mitotic phase fetal germ cell	-0.2665820339215015	5
Granulocytic-UNK	-0.2666214618150363	5
Oligodendrocyte progenitor cell	-0.2666839573486314	5
Retinal pigment epithelial cell	-0.2666839573486314	5
Follicular cell	-0.26675698481858295	5
Mature B cell	-0.26675698481858295	5
Germinal center cell	-0.26675698481858295	5
Resting microglial cell	-0.2668797718241166	5
White blood cell	-0.2668797718241166	5
Epithelial cell	-0.2674202771447022	5
Activated memory B cell	-0.2675643930213864	5
Lymphoid-primed multipotent progenitor cell(LMPP)	-0.26759946018635195	5
Activated tissue resident memory CD8+ T cell	-0.2685238394414172	5
CD16+ dendritic cell (CD16+ DC)	-0.2685238394414172	5
CD16+ dendritic cell	-0.2685238394414172	5
Immature myeloid cell	-0.2685238394414172	5
CD14++CD16- monocyte	-0.2685238394414172	5
Inflammatory monocyte	-0.2685238394414172	5
γ δ T cell	-0.2685238394414172	5
Lymphoid cell	-0.2685238394414172	5
